baseline_id,stage,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
B5,canonicalize,30000,11145.257533333333,10441.0,6493.8349218477715,10441.0,14942.0,22572.0,11071.771258826686,11218.743807839981,8007.0,732730.0
B5,commit,30000,7278.4708,6846.0,3890.5687066600863,6846.0,9039.0,14589.0,7234.443903196278,7322.497696803722,5471.0,289080.0
B5,credential,30000,139999.54393333333,97547.0,108213.68178128875,97544.0,345352.0,408999.0,138774.9639400846,141224.12392658208,27069.0,1047009.0
B5,digest,30000,680.5273666666667,643.0,532.1068106182528,643.0,809.0,1305.0,674.5058789598583,686.5488543734751,557.0,42684.0
B5,identity,30000,3322.887,3103.0,1849.2677339249874,3103.0,4220.0,5862.0,3301.9601058046624,3343.813894195338,2612.0,189547.0
B5,parse,30000,7882.1609,7104.0,4799.593633706172,7104.0,12145.0,20653.0,7827.847191762628,7936.474608237371,5152.0,352308.0
B5,prepare,30000,11575.774633333333,10636.0,5601.214852723536,10636.0,17371.0,25902.0,11512.38952773831,11639.159738928354,7931.0,315723.0
B5,reconcile,30000,29.383433333333333,27.0,80.55680434018639,27.0,42.0,59.0,28.47182724719697,30.295039419469695,13.0,12802.0
B5,risk,30000,966.1380666666666,252.0,1422.8570528613752,252.0,3588.0,4031.0,950.0365695961899,982.2395637371434,20.0,38049.0
B5,total,30000,203893.90506666666,160522.5,113619.38718957415,160520.0,417745.0,501726.0,202608.15241407006,205179.65771926325,73140.0,1151222.0
B5,validate,30000,17339.655666666666,15974.0,7746.110412862197,15974.0,26385.0,38974.0,17251.998249592005,17427.313083741326,11869.0,893890.0
B6,audit,30000,190.71026666666666,234.0,222.53185630113992,234.0,316.0,424.0,188.19202632403002,193.22850700930329,16.0,24802.0
B6,authorize,30000,31.4951,28.0,73.52990682411648,28.0,46.0,107.0,30.663012492024393,32.32718750797561,14.0,7980.0
B6,canonicalize,30000,11168.148733333333,10426.0,5190.940337832003,10426.0,15343.0,22916.0,11109.406422941338,11226.891043725329,8154.0,496622.0
B6,commit,30000,8456.208766666667,7891.0,4358.308544595652,7891.0,11061.0,18680.0,8406.888779024957,8505.528754308376,6205.0,294455.0
B6,credential,30000,139867.42606666667,97053.5,109306.43509889922,97053.0,344517.0,412488.0,138630.48013384102,141104.37199949232,27141.0,1432244.0
B6,digest,30000,677.9185,638.0,526.889454383923,638.0,813.0,1287.0,671.9560535341607,683.8809464658393,557.0,49662.0
B6,identity,30000,3323.182333333333,3093.0,2166.6379409629403,3093.0,4228.0,5804.0,3298.663978246965,3347.7006884197012,2606.0,201037.0
B6,parse,30000,7923.4262,7125.0,4681.1116107911785,7125.0,12333.0,20808.0,7870.453271527563,7976.399128472437,5211.0,370964.0
B6,prepare,30000,11450.200066666666,10503.0,5120.672296850521,10503.0,17377.0,25591.0,11392.252931484814,11508.147201848518,7911.0,270972.0
B6,reconcile,30000,29.584966666666666,27.0,79.50351066214503,27.0,42.0,71.0,28.685279982438757,30.484653350894575,13.0,12763.0
B6,risk,30000,970.1077,252.0,1656.3655845451808,252.0,3561.0,4011.0,951.3637470824815,988.8516529175185,22.0,147765.0
B6,total,30000,204924.62033333333,160673.5,115259.80617461594,160672.0,418705.0,509447.0,203620.30418454512,206228.93648212153,74371.0,1645291.0
B6,validate,30000,17437.69063333333,15991.0,7120.816897568838,15991.0,26842.0,39259.0,17357.10923396856,17518.272032698103,11791.0,474404.0
